arc,number,magnet,size
Arlong Park,09,magnet:?xt=urn:btih:690d5226cc25b26dea711ada6f3243ae02582be7&dn=%5BOne%20Pace%5D%5B91-94%5D%20Arlong%20Park%2009%20%5B1080p%5D%5B0510B910%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,547733116
Arlong Park,10,magnet:?xt=urn:btih:422b7070355ea221f7e73aa6d9dae1c51db818ec&dn=%5BOne%20Pace%5D%5B94-95%5D%20Arlong%20Park%2010%20%5B1080p%5D%5B72F22A68%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,504654767
The Adventures of Buggy's Crew,,magnet:?xt=urn:btih:345dc8abfeb55efe8dda92523d1c85bba154e81f&dn=%5BOne%20Pace%5D%5B35-75%5D%20The%20Adventures%20of%20Buggy%27s%20Crew%20%5B1080p%5D%5B1177A2B6%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,621163960
Loguetown,,magnet:?xt=urn:btih:fc5f605b1fc12f8a14b6176690151ea53bcb7e19&dn=%5BOne%20Pace%5D%5B96-100%5D%20Loguetown%20%5B480p%5D%5BDual-Audio%5D%5BENG-ESP%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,714761568
Reverse Mountain,01,magnet:?xt=urn:btih:6a156dd98015e9424aad5a942b097446c47e75cf&dn=%5BOne%20Pace%5D%5B101-102%5D%20Reverse%20Mountain%2001%20%5B1080p%5D%5BEBF6DE81%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,633400854
Reverse Mountain,02,magnet:?xt=urn:btih:5bc92a22773d16e63dc6096af0027caef406ceb1&dn=%5BOne%20Pace%5D%5B103-105%5D%20Reverse%20Mountain%2002%20%5B1080p%5D%5B103B04A7%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,755224145
Whiskey Peak,,magnet:?xt=urn:btih:d5af21f3f6ab66d20dda4b131b5eeb0e17a23b7a&dn=%5BOne%20Pace%5D%5B106-114%5D%20Whiskey%20Peak%20%5B480p%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,287651967
The Trials of Koby-Meppo,,magnet:?xt=urn:btih:c345a0dc89a9d20b9cbdad787b0bd80c34f52809&dn=%5BOne%20Pace%5D%5B83-119%5D%20The%20Trials%20of%20Koby-Meppo%20%5B1080p%5D%5B4B56844F%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,346440276
Little Garden,01,magnet:?xt=urn:btih:ee1feaf374699150ebe9cf8876df199acb9a5fea&dn=%5BOne%20Pace%5D%5B115-117%5D%20Little%20Garden%2001%20%5B1080p%5D%5BFA63AC14%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,752305266
Little Garden,02,magnet:?xt=urn:btih:707378a82ffb792bcbb455a8ac4e2b68de3e5721&dn=%5BOne%20Pace%5D%5B117-119%5D%20Little%20Garden%2002%20%5B1080p%5D%5B64714640%5D.mkv&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce,668409892
